Job Info
Name;Stine 48 h v?kstfors?g
Status;Completed
Job ID;9
Job last modified;06-06-2014 13:55:25

Repetitions;61
Time between repetitions;00:30:00
Time between repetitions starting from 12:00:00;01:00:00
Acquire started;04-06-2014 13:18:10
Acquire completed;06-06-2014 13:52:34
Acquire duration;48:34:24
Growth Kinetics Analysis plugin;FullImageFeatures.dll

Name;ImageDistance;CameraStartPosition;Scan length;NumberOfImages;IlluminationLevel;IlluminationTime;TrayPosition;FocusPosition
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;56;8.88104074497104;3.32093685953493;4.57496734857925;0.596400345230805;8.88105157786116;0.250920058848205;160404
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;57;8.87888317682807;3.31877929139196;4.61065633390619;0.632089330557742;8.87888905626601;0.248757537253054;164004
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;58;8.87627677537381;3.3161728899377;4.66998014976766;0.691413146419213;8.87627916721488;0.246147648201923;167604
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;59;8.87324657358715;3.31314268815104;4.74572414973086;0.76715714638241;8.87324295659847;0.24311143758551;171204
A1;14198.3815144668;4.62746099855975;2929.01670912009;203;2;10;60;8.87066171161914;3.31055782618303;4.63414004028899;0.655573036940539;8.8706558709619;0.240524351948947;174804
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;0;5.85788870117872;0;4.33017260473974;0;8.64656934263865;0;230
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;1;6.0324773070745;0.174588605895782;4.40851115784366;0.0783385531039249;8.65297617293492;0.00640683029627098;2025
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;2;5.98181263408236;0.123923932903638;4.34732186545797;0.0171492607182353;8.65162194881431;0.00505260617565462;3825
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;3;6.0680584607578;0.210169759579077;4.42741651162057;0.0972439068808368;8.65061463843383;0.00404529579518176;5625
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;4;6.22189439224841;0.364005691069689;4.59233634225625;0.262163737516518;8.65281355332127;0.00624421068261682;7425
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;5;6.22074603126936;0.362857330090645;4.58518925478159;0.255016650041853;8.65431179109165;0.00774244845299776;9225
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;6;6.48349065025843;0.625601949079712;4.78974611551026;0.45957351077052;8.65643860568277;0.00986926304412172;11025
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;7;6.55779716060819;0.699908459429473;4.89569480080446;0.565522196064725;8.65697820851575;0.0104088658770962;12826
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;8;6.45109179636232;0.593203095183604;4.75228889297224;0.422116288232499;8.65898083033888;0.0124114877002288;14625
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;9;6.61089178012479;0.753003078946071;4.89299522692866;0.562822622188919;8.65896988795156;0.012400545312909;16425
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;10;6.66153349678197;0.803644795603248;4.94971340738735;0.619540802647611;8.66075956897783;0.0141902263391831;18225
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;11;6.74391954318863;0.886030842009916;4.98174127995929;0.651568675219556;8.66375558031318;0.0171862376745313;20026
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;12;6.75973083125058;0.901842130071866;4.95086228270558;0.620689677965847;8.66530804550962;0.0187387028709693;21826
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;13;6.73738134478782;0.879492643609103;4.98285593021351;0.652683325473777;8.66498766288175;0.0184183202431019;23626
