Job Info
Name;Synergy, S, aureus del,mutants
Status;Completed
Job ID;10
Job last modified;11-06-2014 10:46:55

Repetitions;49
Time between repetitions;00:30:00
Acquire started;10-06-2014 10:39:39
Acquire completed;11-06-2014 10:44:01
Acquire duration;24:04:22
Growth Kinetics Analysis plugin;FullImageFeatures,dll

Name;ImageDistance;CameraStartPosition;Scan length;NumberOfImages;IlluminationLevel;IlluminationTime;TrayPosition;FocusPosition
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;25;9,02454111473866;3,37077715708174;0;-4,11334268129509;9,0245440858885;0,434746587736711;45209
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;26;9,02596163497085;3,37219767731393;0;-4,11334268129509;9,02595667215575;0,436159174003967;47009
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;27;9,02682684022583;3,37306288256891;0;-4,11334268129509;9,02683300100743;0,43703550285564;48809
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;28;9,02775647101632;3,3739925133594;0;-4,11334268129509;9,0277685442937;0,437971046141918;50609
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;29;9,02910706655866;3,37534310890173;0;-4,11334268129509;9,029109065136;0,439311566984216;52409
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;30;9,0301276550868;3,37636369742987;0;-4,11334268129509;9,03013076458103;0,440333266429247;54209
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;31;9,03136170238555;3,37759774472862;0;-4,11334268129509;9,03136727029794;0,441569772146153;56009
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;32;9,03213550589748;3,37837154824056;0;-4,11334268129509;9,0321431565077;0,442345658355913;57809
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;33;9,03314773123659;3,37938377357967;0;-4,11334268129509;9,03315650671149;0,443359008559703;59609
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;34;9,0344856885076;3,38072173085068;0;-4,11334268129509;9,03450008972044;0,444702591568653;61409
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;35;9,03602473943415;3,38226078177722;0;-4,11334268129509;9,03604094164796;0,446243443496179;63209
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;36;9,03701574805026;3,38325179039334;0;-4,11334268129509;9,03703702273291;0,447239524581127;65009
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;37;9,03785422499084;3,38409026733391;0;-4,11334268129509;9,03787743180317;0,448079933651384;66809
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;38;9,03792257609219;3,38415861843527;0;-4,11334268129509;9,03794572344107;0,44814822528928;68609
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;39;9,0383351477652;3,38457119010827;0;-4,11334268129509;9,03835585041484;0,448558352263051;70409
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;40;9,03960613066656;3,38584217300963;0;-4,11334268129509;9,03963186789828;0,449834369746497;72209
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;41;9,0398808417237;3,38611688406678;0;-4,11334268129509;9,03990732321492;0,450109825063139;74009
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;42;9,04052776809833;3,38676381044141;0;-4,11334268129509;9,04055532006547;0,450757821913683;75809
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;43;9,04080660623682;3,3870426485799;0;-4,11334268129509;9,04083333687342;0,451035838721637;77609
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;44;9,04071342910796;3,38694947145104;0;-4,11334268129509;9,04074022046859;0,450942722316807;79409
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;45;9,04096579614745;3,38720183849053;0;-4,11334268129509;9,04099000692025;0,451192508768465;81209
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;46;9,04070051750875;3,38693655985182;0;-4,11334268129509;9,04072639626582;0,450928898114039;83010
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;47;9,04110630859132;3,3873423509344;0;-4,11334268129509;9,04113307771444;0,451335579562652;84810
A1;14198,3815144668;4,62746099855975;3083,05392085051;204;2;10;48;9,04108859909334;3,38732464143641;0;-4,11334268129509;9,04111482848982;0,451317330338039;86610
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;0;5,60505093994873;0;3,97834930665258;0;8,63084246377109;0;231
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;1;5,59275194722728;-0,0122989927214547;4,09151957944005;0,11317027278747;8,62696950555451;-0,00387295821658462;2032
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;2;5,5562701835153;-0,0487807564334277;4,06854867000416;0,0901993633515792;8,62803513468395;-0,00280732908714221;3832
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;3;5,44555380367405;-0,15949713627468;3,98226078937934;0,00391148272675679;8,62939336116581;-0,00144910260528697;5632
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;4;5,56293327535632;-0,0421176645924106;4,08785318714047;0,109503880487892;8,62472551264435;-0,00611695112674404;7433
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;5;5,53487787030688;-0,0701730696418545;4,02881826583293;0,0504689591803471;8,62612005466664;-0,00472240910445443;9232
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;6;5,57604079888558;-0,0290101410631465;4,11287811019634;0,134528803543759;8,62670310004512;-0,00413936372597767;11032
